Role,Name
Game Design,Blizzard Entertainment
Executive Producer,Frank Pearce
Art Director,Justin Thavirat
Creative Director,Chris Metzen
Lead Game Programmer,John Cash
Lead Server Programmer,Joe Rumsey
Lead Designers,Tom Chilton
Lead Designers,Jeffrey Kaplan
Lead Designers,Rob Pardo
Lead Producer,Shane Dabiri
Lead Character Artist,Chris Robinson
Lead Exterior Artist,Gary Platner
Lead Interior Artist,Brian Morrisroe
Lead Level Designer,Cory Stockton
Lead Quest Designer,Alex Afrasiabi
Producers,J. Allen Brack
Producers,Robert Foote
Producers,Carlos Guerrero
Producers,Jason Hutchins
Producers,John Lagrave
Producers,Alex Mayberry
Producers,John Schwartz
Producers,Lee Sparks
Producers,Alex Tsang
Programming,Brian Birmingham
Programming,Wes Bigelow
Programming,Jesse Blomberg
Programming,Patrick Dawson
Programming,Jason De Arte
Programming,Tony Garcia
Programming,Bryan Gibson-Winge
Programming,Omar Gonzalez
Programming,Scott Hartin
Programming,Sam Lantinga
Programming,Patrick Magruder
Programming,Collin Murray
Programming,Ron Nakada
Programming,Irena Pereira
Programming,David Ray
Programming,Derek Sakamoto
Programming,Jeremy Wood
Additional Programming,Russell Bernau
Additional Programming,Jeremy Chernobieff
Additional Programming,Alec Dun
Additional Programming,Mike Elliott
Additional Programming,Bob Fitch
Additional Programming,Monte Krol
Additional Programming,John Lafleur
Additional Programming,Chris MacDonald
Additional Programming,Pat MacKellar
Additional Programming,Nate Miller
Additional Programming,Aimee Pi
Additional Programming,Kyle Radue
Additional Programming,Dan Reed
Additional Programming,Pete Sandrene
Additional Programming,Michael Starich
Additional Programming,Tom Thompson
Macintosh Programming,Rob Barris
Macintosh Programming,John Mikros
Macintosh Programming,Daniel Pageau
Macintosh Programming,John Stiles
Animators,Steve Aguilar
Animators,Carman Cheung
Animators,Bryan Gillingham
Animators,Mauricio Hoffman
Animators,Chris Luckenbach
Animators,Corey Pelton
Animators,Jason Zirpolo
Dungeon/City Artists,"Jose Aello, Jr."
Dungeon/City Artists,Eric Browning
Dungeon/City Artists,Jamie Chang
Dungeon/City Artists,Jeff Chang
Dungeon/City Artists,Wendy Davis
Dungeon/City Artists,Rutherford Gong
Dungeon/City Artists,Jeremy “Faceless” Graves
Dungeon/City Artists,Kevin Griffith
Dungeon/City Artists,Kevin K. Griffith
Dungeon/City Artists,Jimmy “Lo-Tek” Lo
Dungeon/City Artists,Andrew Matthews
Dungeon/City Artists,Chris Ryder
Dungeon/City Artists,Tiffany Sirignano
Dungeon/City Artists,"Rhett ""Stash"" Torgoley"
Dungeon/City Artists,Holly Wilson
Exterior Environment Artists,Dave Berggren
Exterior Environment Artists,Terrie Denman
Exterior Environment Artists,Justin Kunz
Exterior Environment Artists,Dan Moore
Exterior Environment Artists,Jason Morris
Exterior Environment Artists,Dion Rogers
Exterior Environment Artists,Jamin Shoulet
Character Artists,Roman Kenney
Character Artists,Hun Kevin Lee
Character Artists,Kevin Maginnis
Character Artists,John Polidora
Character Artists,Eddie Rainwater
Character Artists,Danny Saint-Hilaire
Character Artists,Robert Sevilla
Additional Art,Shimon Cohen
Additional Art,Stephen Crow
Additional Art,Samwise Didier
Additional Art,Allen Dilling
Additional Art,Brett Dixon
Additional Art,Roger Eberhart
Additional Art,Sam Fung
Additional Art,Phill Gonzales
Additional Art,Jay Hathaway
Additional Art,Brian Hsu
Additional Art,Trevor Jacobs
Additional Art,Dana Jan
Additional Art,Aaron Keller
Additional Art,Michael McInerney
Additional Art,Matt Milizia
Additional Art,Matt Mocarski
Additional Art,Ted Park
Additional Art,Bill Petras
Additional Art,Robb Shoberg
Additional Art,Brian Silva
Concept Artist,Trent Kaniuga
Concept Artist,Peter C. Lee
Technical Artists,Thomas Blue
Technical Artists,Jon Jelinek
Technical Artists,Rob McNaughton
Level Designers,Sarah Boulian
Level Designers,James Chadwick
Level Designers,Victor Chong
Level Designers,Matt Gotcher
Level Designers,Ed Hanes
Level Designers,Jesse McCree
Level Designers,Julian Morris
Level Designers,Matthew Morris
Level Designers,John Staats
Game Designers,Luis Barriga
Game Designers,Alexander Brazie
Game Designers,Shawn Carnes
Game Designers,Paul Cazarez
Game Designers,Travis Day
