Role,Name
Game Design,Blizzard Entertainment
Executive Producer,Frank Pearce
Art Director,Chris Robinson
Creative Director,Chris Metzen
Game Director,Jeffrey Kaplan
Lead Designer,Tom Chilton
Technical Director,Mike Elliott
Production Director,J. Allen Brack
Lead Animator,Steve Aguilar
Lead City/Dungeon Artist,Wendy Vetter
Lead Environment Artist,Gary Platner
Lead Prop Artist,Jason Morris
Lead Technical Artist,Thomas Blue
Lead Level Designer,Cory Stockton
Lead World Designer,Alex Afrasiabi
Lead Systems Designer,Greg Street
Lead Exterior Level Designers,Aaron Keller
Lead Exterior Level Designers,Jesse McCree
Lead Exterior Artist,Ely Cannon
Lead Encounter Designer,Scott Mercer
Lead World Event Designer,Dave Maldonado
Lead Engine Programmer,Patrick Doane
Lead Gameplay Programmers,Sam Lantinga
Lead Gameplay Programmers,Patrick Magruder
Lead Server Programmer,Bryan Gibson-Winge
Lead Tools Programmer,Monte Krol
Lead UI Programmer,Tom Thompson
Senior Producers,Carlos Guerrero
Senior Producers,John Lagrave
Senior Producers,Alex Mayberry
Producers,James Cho
Producers,Robert Foote
Producers,Jason Hutchins
Producers,Jeremy Masker
Producers,Lee Sparks
Producers,Alex Tsang
Animators,John Butkus
Animators,Carman Cheung
Animators,Jeff Gregory
Animators,Mauricio Hoffman
Animators,Mai Igarashi
Animators,Chris Luckenbach
Animators,John Scharmen
Animators,Jason Zirpolo
Character Artists,Chris Ha
Character Artists,Roman Kenney
Character Artists,Hun Kevin Lee
Character Artists,Kevin Maginnis
Character Artists,Jon McConnell
Character Artists,John Polidora
Character Artists,Eddie Rainwater
Character Artists,Danny Saint-Hilaire
Character Artists,Robert Sevilla
Character Artists,Thomas Yip
City/Dungeon Sub-Leads,Eric Browning
City/Dungeon Sub-Leads,Jimmy Lo
City/Dungeon Artists,Steve Allen
City/Dungeon Artists,Jeff Chang
City/Dungeon Artists,Steve Crow
City/Dungeon Artists,Rutherford Gong
City/Dungeon Artists,Jeremy Graves
City/Dungeon Artists,Kevin K. Griffith
City/Dungeon Artists,Andrew Matthews
City/Dungeon Artists,Michael McInerney
City/Dungeon Artists,John Staats
City/Dungeon Artists,"Rhett ""Stash"" Torgoley"
Environment Artists,Justin Kunz
Environment Artists,Dion Rogers
Environment Artists,Gustav Schmidt
Prop Artists,Jamie Chang
Prop Artists,Terrie Denman
Prop Artists,Jon Jelinek
Prop Artists,Dan Moore
Prop Artists,Tiffany Sirignano
Prop Artists,Holly Wilson
Special Effects Artist,Slim Ghariani
Technical Artist,Brett Dixon
Game Designers,Craig Amai
Game Designers,Luis Barriga
Game Designers,Justin Z. Bartlett
Game Designers,Alexander Brazie
Game Designers,Steve Burke
Game Designers,Paul Cazarez
Game Designers,Morgan Day
Game Designers,Travis Day
Game Designers,Kristen DeMeza
Game Designers,Eric Dodds
Game Designers,Geoff Goodman
Game Designers,Kevin Jordan
Game Designers,Chris Kaleiki
Game Designers,Owen Landgren
Game Designers,Jonathan LeCraft
Game Designers,Eric Maloof
Game Designers,Pat Nagle
Game Designers,Brianna Schneider
Game Designers,Joe Shely
Game Designers,Kris Zierhut
Level Designers,David M. Adams
Level Designers,Sarah Boulian
Level Designers,James Chadwick
Level Designers,Victor Chong
Level Designers,Jonathan Dumont
Level Designers,Ed Hanes
Level Designers,Julian Morris
Programmers,Russell Bernau
Programmers,Brian Birmingham
Programmers,Jesse Blomberg
Programmers,Joseph Cochran
Programmers,Patrick Dawson
Programmers,Jason De Arté
Programmers,Alec Dun
Programmers,Omar Gonzalez
Programmers,Scott Hartin
Programmers,Kevin M. Kelly
Programmers,Marko Kylmamaa
Programmers,Christopher MacDonald
Programmers,Pat MacKellar
Programmers,Collin Murray
Programmers,Ron Nakada
Programmers,Irena Pereira
Programmers,Aimee Pi
Programmers,Kyle Radue
Programmers,Dan Reed
Programmers,Derek Sakamoto
Programmers,Pete Sandrene
Programmers,Michael F. Schweitzer
Programmers,Craig Steele
Programmers,Jeremy Wood
Macintosh Programming,Rob Barris
Macintosh Programming,John Mikros
Macintosh Programming,Daniel Pageau
Macintosh Programming,John Stiles
Technical Writer,Theresa Wolf
Additional Art,Sam Didier
Additional Art,Allen Dilling
