Role,Name
Game Design,Blizzard Entertainment
Executive Producer,Frank Pearce
Game Director,Tom Chilton
Production Director,J. Allen Brack
Art Director,Chris Robinson
Technical Director,Mike Elliott
Creative Director,Chris Metzen
Lead Visual Animator,Steve Aguilar
Character Art Manager/Lead Technical Artist,Thomas Blue
Lead City/Dungeon Artist,Wendy Vetter
Lead Environment Artist,Gary Platner
Lead Prop Artists,Eric Browning
Lead Prop Artists,Jason Morris
Lead Content Designer,Cory Stockton
Lead Systems Designer,Greg Street
Lead World Designer,Alex Afrasiabi
Lead Encounter Designer,Scott Mercer
Lead Level Designer,Jesse McCree
Lead Exterior Artist,Ely Cannon
Lead World Event Designer,Dave Maldonado
Lead Engine Programmer,Patrick Doane
Lead Gameplay Programmer,Patrick Magruder
Lead Server Programmer,Alec Dun
Lead Systems Technology Programmer,Collin Murray
Lead Tools Programmer,Monte Krol
Lead UI Programmer,Tom Thompson
Senior Producers,Ray Cobo
Senior Producers,Rob Foote
Senior Producers,Carlos Guerrero
Senior Producers,John Lagrave
Producers,James Cho
Producers,Jason Hutchins
Producers,Jeremy Masker
Producers,Lee Sparks
Producers,Alex Tsang
Animators,John Butkus
Animators,Jeff Gregory
Animators,Mauricio Hoffman
Animators,Mai Igarashi
Animators,John Scharmen
Animators,Jason Zirpolo
Character Artists,Danny Beck
Character Artists,Christopher Chang
Character Artists,Joe Keller
Character Artists,Roman Kenney
Character Artists,Hun Kevin Lee
Character Artists,Kevin Maginnis
Character Artists,Jon McConnell
Character Artists,Danny Saint-Hilaire
Character Artists,Robert Sevilla
Character Artists,Thomas Yip
City/Dungeon Sub-Lead,Jimmy Lo
City/Dungeon Artists,Steve Allen
City/Dungeon Artists,Patrick Burke
City/Dungeon Artists,Jeff Chang
City/Dungeon Artists,Steve Crow
City/Dungeon Artists,Cole Eastburn
City/Dungeon Artists,David Harrington
City/Dungeon Artists,Jonathan Jacobson
City/Dungeon Artists,Danny “Danky” Kim
City/Dungeon Artists,Rutherford Gong
City/Dungeon Artists,Andrew Matthews
City/Dungeon Artists,Chad Max
City/Dungeon Artists,John Staats
City/Dungeon Artists,"Rhett ""Stash"" Torgoley"
Concept Artist,Mark Gibbons
Environment Artists,Justin Kunz
Environment Artists,Dion Rogers
Environment Artists,Gustav Schmidt
Prop Artists,Jamie Chang
Prop Artists,Terrie Denman
Prop Artists,Dan Moore
Prop Artists,Dusty Nolting
Prop Artists,Tiffany Sirignano-Sheets
Prop Artists,Holly Prado
Prop Artists,Kelvin Tan
Special Effects Artist,Slim Ghariani
Technical Artists,Paul Forest
Technical Artists,Joram Hughes
Technical Artists,Alexis Meade
Technical Artists,Trevor Rothman
Game Designers,Craig Amai
Game Designers,Luis Barriga
Game Designers,Justin Z. Bartlett
Game Designers,Alexander Brazie
Game Designers,Steve Burke
Game Designers,Morgan Day
Game Designers,Travis Day
Game Designers,Jeremy Feasel
Game Designers,Geoff Goodman
Game Designers,Ion Hazzikostas
Game Designers,Chris Kaleiki
Game Designers,Dave Kosak
Game Designers,Paul Kubit
Game Designers,Owen Landgren
Game Designers,Jonathan LeCraft
Game Designers,Eric Maloof
Game Designers,Roman Voce Marotte
Game Designers,Brianna Schneider
Game Designers,Joe Shely
Game Designers,Candace Thomas
Game Designers,He-Rim Woo
Game Designers,Kris Zierhut
Level Designers,Sarah Boulian
Level Designers,Paul Cazarez
Level Designers,James Chadwick
Level Designers,Victor Chong
Level Designers,Jonathan Dumont
Level Designers,Ed Hanes
Level Designers,Michael McInerney
Level Designers,Julian Morris
Programmers,Russell Bernau
Programmers,Brian Birmingham
Programmers,Joseph Cochran
Programmers,Jason De Arte
Programmers,Steven Dwyer
Programmers,Ben Foxworthy
Programmers,Omar Gonzalez
Programmers,Scott Hartin
Programmers,Marco Koegler
Programmers,Christopher MacDonald
Programmers,Pat MacKellar
Programmers,Ron Nakada
Programmers,Nicolas Noble
Programmers,Serban Oprescu
Programmers,Aimee Pi
Programmers,Chaz Pratt
Programmers,Kyle Radue
Programmers,Sean Riley
Programmers,Pete Sandrene
Programmers,Jacob Segal
Programmers,Craig Steele
Programmers,John Stiles
Programmers,Craig Tiller
Programmers,Darren Williams
