Role,Name
Game Design,Blizzard Entertainment
Executive Producer,Frank Pearce
Game Director,Tom Chilton
Production Director,J. Allen Brack
Art Director,Chris Robinson
Technical Director,Mike Elliott
Creative Director,Chris Metzen
Lead Visual Animator,Steve Aguilar
Art Manager and Lead Technical Artist,Thomas Blue
Lead Dungeon Artist,Wendy Vetter
Lead Environment Artist,Gary Platner
Lead Prop and FX Artist,Eric Browning
Lead Content Designer,Cory Stockton
Lead Systems Designer,Greg Street
Lead Encounter Designer,Scott Mercer
Lead Level Designer,Jonathan Dumont
Lead Quest Designer,Dave Kosak
Lead Engine Programmer,Marco Koegler
Lead Gameplay Programmer,Patrick Magruder
Lead Server Programmer,Alec Dun
Lead Systems Technology Programmer,Collin Murray
Lead Tools Programmer,Monte Krol
Lead UI Programmer,Tom Thompson
Lead/Senior Producers,Ray Cobo
Lead/Senior Producers,Rob Foote
Lead/Senior Producers,Carlos Guerrero
Lead/Senior Producers,John Hight
Lead/Senior Producers,John Lagrave
Producers,Ernst ten Bosch
Producers,Jason Hutchins
Producers,Joseph Hsu
Producers,Scott Keenan
Producers,Thomas Pieracci
Producers,John Shin
Producers,Alex Tsang
Animators,John Butkus
Animators,Carman Cheung
Animators,Jeremy Collins
Animators,Carlos Fins
Animators,Mai Igarashi
Animators,John Scharmen
Animators,Jason Zirpolo
Character Artists,Tamara Bakhlycheva
Character Artists,Danny Beck
Character Artists,Christopher Chang
Character Artists,Joe Keller
Character Artists,Roman Kenney
Character Artists,Ryan Metcalf
Character Artists,Tyson Murphy
Character Artists,Dusty Nolting
Character Artists,Jon McConnell
Character Artists,Danny Saint-Hilaire
Character Artists,Robert Sevilla
Character Artists,Thomas Yip
Dungeon Sub-Leads,Steve Crow
Dungeon Sub-Leads,Jimmy Lo
Dungeon Artists,Patrick Burke
Dungeon Artists,Jeff Chang
Dungeon Artists,Ryan Cooper
Dungeon Artists,Cole Eastburn
Dungeon Artists,David Harrington
Dungeon Artists,Jonathan Jacobson
Dungeon Artists,Danny “Danky” Kim
Dungeon Artists,Andrew Matthews
Dungeon Artists,Chad Max
Dungeon Artists,Rhett “Stash” Torgoley
Concept Artist,Mark Gibbons
Environment Artists,Matthew Heyman
Environment Artists,Kelli Hoover
Environment Artists,Gustav Schmidt
Environment Artists,Tina Wang
Prop and FX Artists,Mark Abadier
Prop and FX Artists,Jamie Chang
Prop and FX Artists,Jeffrey Chuang
Prop and FX Artists,Terrie Denman
Prop and FX Artists,Jay Hwang
Prop and FX Artists,Adam Kugler
Prop and FX Artists,Kevin Maginnis
Prop and FX Artists,Dan Moore
Prop and FX Artists,Holly Prado
Prop and FX Artists,Kelvin S. Tan
Technical Artists,Paul Forest
Technical Artists,Joram Hughes
Technical Artists,Alexis Meade
Technical Artists,Trevor Rothman
Game Designers,Don Adams
Game Designers,Craig Amai
Game Designers,Alexander Brazie
Game Designers,Steve Burke
Game Designers,Nathaniel Chapman
Game Designers,Helen Cheng
Game Designers,Morgan Day
Game Designers,Travis Day
Game Designers,Jeremy Feasel
Game Designers,Scott Gordon
Game Designers,Ion Hazzikostas
Game Designers,Chris Kaleiki
Game Designers,Dan Kramer
Game Designers,Paul Kubit
Game Designers,Owen Landgren
Game Designers,Jonathan LeCraft
Game Designers,Dave Maldonado
Game Designers,Ryan Meier
Game Designers,Chadd Nervig
Game Designers,Zachariah Owens
Game Designers,Russell Petersen
Game Designers,Jessica Rogers
Game Designers,Joe Shely
Game Designers,Candace Thomas
Game Designers,Matt Webster
Game Designers,He-Rim Woo
Game Designers,Jason Zelechoski
Game Designers,Kris Zierhut
Level Designers,Sarah Boulian
Level Designers,Ely Cannon
Level Designers,Paul Cazarez
Level Designers,Victor Chong
Level Designers,Ian Gerdes
Level Designers,Ed Hanes
Level Designers,Kevin Lee
Level Designers,Michael McInerney
Level Designers,Scott Smith
Level Designers,Julien Tremblay
Engine Programmers,Alexey Medvedev
Engine Programmers,Matthew Williams
Gameplay Programmers,Russell Bernau
Gameplay Programmers,Patrick Dawson
Gameplay Programmers,Benjamin Foxworthy
Gameplay Programmers,Omar Gonzalez
Gameplay Programmers,Christopher MacDonald
Gameplay Programmers,Pat MacKellar
