Role,Name
Executive Producers,J. Allen Brack
Executive Producers,Rob Pardo
Game Director,Tom Chilton
Art Director,Chris Robinson
Creative Director,Alex Afrasiabi
Technical Director,Marco Koegler
Lead Animator,Steve Aguilar
Lead Character Artist,Tyson Murphy
Lead Dungeon Artist,Wendy Vetter
Lead Environment Artist,Gary Platner
Lead Prop & FX Artist,Eric Browning
Lead Technical Artist & Art Manager,Thomas Blue
Lead Game Designers,Luis Barriga
Lead Game Designers,Ion Hazzikostas
Lead Game Designers,Cory Stockton
World and Story Development,Chris Metzen
Lead Class Designer,Kris Zierhut
Lead Item Designer,Matt Goss
Lead Level Designer,Julian Morris
Lead Narrative Designer,Dave Kosak
Lead Quest Designer,Craig Amai
Lead Engine Programmer,Frank Kowalkowski
Lead Gameplay Programmer,Patrick Magruder
Lead Server Programmer,Patrick Dawson
Lead Shared Technology Programmer,John Cash
Lead Systems Technology Programmer,Collin Murray
Lead Tools Programmer,Monte Krol
Lead UI Programmer,Tom Thompson
Lead Producers,Ray Cobo
Lead Producers,Barry Hawkins
Lead Producers,John Lagrave
Producers,Shani Edwards
Producers,Carlos Guerrero
Producers,Jason Hutchins
Producers,Marcus Maczynski
Producers,Marcos Morin
Producers,Thomas Pieracci
Producers,John Shin
Producers,Ernst ten Bosch
Producers,Alex Tsang
Art Manager,Andy Lang
Design Manager,Craig Morrison
Animators,John Butkus
Animators,Carman Cheung
Animators,Jeremy Collins
Animators,David Edwards
Animators,Carlos Fins
Animators,Ian Lang
Animators,Corin McCrate
Animators,Corey Peagler
Animators,Kevin Rucker
Animators,John Scharmen
Animators,Adam York
Animators,Jason Zirpolo
Character Artists,Tamara Bakhlycheva
Character Artists,Calvin Boice
Character Artists,Yekaterina Bourykina
Character Artists,Christopher Chang
Character Artists,Ariel Fain
Character Artists,Bogdan Gabelko
Character Artists,Christopher Hayes
Character Artists,Joe Keller
Character Artists,Kenny McBride
Character Artists,Jon McConnell
Character Artists,Ryan Metcalf
Character Artists,Aaron R. W. Morse
Character Artists,Dusty Nolting
Character Artists,Robert Sevilla
Character Artists,Genevieve St-Michel
Character Artists,Kelvin Tan
Character Artists,Thomas Yip
Concept Artists,Peter Clarke
Concept Artists,Chris Deboda
Concept Artists,Jimmy Lo
Concept Artists,Michaela Nienaber
Dungeon Sub-Leads,Stephen Crow
Dungeon Sub-Leads,Rhett Torgoley
Dungeon Artists,Patrick Burke
Dungeon Artists,Jeff Chang
Dungeon Artists,Jessica Clarke
Dungeon Artists,Ryan Cooper
Dungeon Artists,Shem Dawson
Dungeon Artists,Jessica Dinh
Dungeon Artists,Jeffrey Duval
Dungeon Artists,Cole Eastburn
Dungeon Artists,David Harrington
Dungeon Artists,Ishmael Hoover
Dungeon Artists,Jonathan Jacobson
Dungeon Artists,Daehi Kim
Dungeon Artists,Kevin Maginnis
Dungeon Artists,Andrew Matthews
Dungeon Artists,Matt McDaid
Dungeon Artists,Matthew O'Connor
Dungeon Artists,Lianna Tai
Dungeon Artists,Nicole Thatcher
Dungeon Artists,Fanny Vergne-Vicente
Dungeon Artists,David Vessup
Environment Artists,Matthew Heyman
Environment Artists,Kelli Hoover
Environment Artists,Jason Morris
Environment Artists,Gustav Schmidt
Environment Artists,Tina Wang
Prop & FX Artists,Mark Abadier
Prop & FX Artists,Eric Braddock
Prop & FX Artists,Jamie Chang
Prop & FX Artists,Jeffrey Chuang
Prop & FX Artists,Terrie Denman
Prop & FX Artists,Gavin Glenn-McDowell
Prop & FX Artists,Jay Hwang
Prop & FX Artists,Adam Kugler
Prop & FX Artists,Peter K. Lee
Prop & FX Artists,Dan Moore
Prop & FX Artists,Steven M. Nelson
Prop & FX Artists,Jordan Powers
Prop & FX Artists,Ashleigh Warner
Technical Artists,Joshua Axner
Technical Artists,Glen Chang
Technical Artists,Chris Cole
Technical Artists,Paul Forest
Technical Artists,Alexis Meade
Technical Artists,Trevor Rothman
Game Designers,Don Adams
Game Designers,Larry Boles
Game Designers,Steve Burke
Game Designers,Johnny Cash
Game Designers,Nathaniel Chapman
Game Designers,Helen Cheng
Game Designers,Michael Chu
Game Designers,Juan Custer
Game Designers,Morgan Day
Game Designers,Ken Dilks
Game Designers,Jeremy Feasel
Game Designers,Scott Gordon
Game Designers,Robert Harger
Game Designers,Brian Holinka
Game Designers,Ken Huang
Game Designers,Trevor Huwe
Game Designers,Chris Kaleiki
Game Designers,Dan Kramer
Game Designers,Paul Kubit
Game Designers,Bonnie Kwon
Game Designers,Owen Landgren
Game Designers,Jonathan LeCraft
Game Designers,Josh Leyshock
Game Designers,Eric Maloof
Game Designers,Pat Nagle
Game Designers,Chadd Nervig
Game Designers,Michael Nuthals
Game Designers,Zachariah Owens
Game Designers,Jose Perez III
Game Designers,Russell Petersen
Game Designers,Ed Piper
Game Designers,Ryan Shwayder
Game Designers,Kurt Sparkuhl
Game Designers,Candace Thomas
