Role,Name
Executive Producer,J. Allen Brack
Game Director,Tom Chilton
Production Director,John Hight
Art Director,Chris Robinson
Technical Director,Marco Koegler
Creative Director,Alex Afrasiabi
Assistant Game Director,Ion Hazzikostas
Business Operations Director,Jennifer Hauer
World and Story Development,Chris Metzen
Lead Animator,Steve Aguilar
Lead Character Artist,Tyson Murphy
Lead Dungeon Artist,Wendy Vetter
Lead Environment Artist,Gary Platner
Lead Prop Artist,Eric Browning
Lead Technical Artist,Thomas Blue
Lead Game Designers,Luis Barriga
Lead Game Designers,Matt Goss
Lead Game Designers,Julian Morris
Lead Game Designers,Cory Stockton
Lead Game Designers,Jay Wilson
Lead Engine Programmer,Frank Kowalkowski
Lead Gameplay Programmers,Patrick Magruder
Lead Gameplay Programmers,Paul Watkins
Lead Server Programmer,Patrick Dawson
Lead Shared Technology Programmer,John Cash
Lead Systems Technology Programmer,Collin Murray
Lead Tools Programmer,Monte Krol
Lead UI Programmer,Tom Thompson
Lead Producer,Ray Cobo
Art Manager,Andy Lang
Design Manager,Craig Morrison
Engineering Manager,Jonathan Moon Shaw
ART Animators,John Butkus
ART Animators,Carman Cheung
ART Animators,Jeremy Collins
ART Animators,David Edwards
ART Animators,Carlos Fins
ART Animators,Chris Hale
ART Animators,Josiah Haworth
ART Animators,Ian Lang
ART Animators,Corin McCrate
ART Animators,Corey Peagler
ART Animators,Kevin Rucker
ART Animators,John Scharmen
ART Animators,Jason Zirpolo
Character Art Sub-Lead,Robert Sevilla
Character Artists,Calvin Boice
Character Artists,Christopher Chang
Character Artists,Sukjoo Choi
Character Artists,Ariel Fain
Character Artists,Christopher Hayes
Character Artists,Joe Keller
Character Artists,Kenny McBride
Character Artists,Jon McConnell
Character Artists,Ryan Metcalf
Character Artists,Aaron R. W. Morse
Character Artists,Jay Nam
Character Artists,Dusty Nolting
Character Artists,Genevieve St-Michel
Character Artists,Kelvin Tan
Character Artists,Thomas Yip
Concept Artists,Peter Clarke
Concept Artists,Chris Deboda
Concept Artists,Jimmy Lo
Concept Artists,Michaela Nienaber
Concept Artists,Glenn Rane
Dungeon Art Sub-Leads,Stephen Crow
Dungeon Art Sub-Leads,Rhett Torgoley
Dungeon Artists,Patrick Burke
Dungeon Artists,Jeff Chang
Dungeon Artists,Jessica Clarke
Dungeon Artists,Ryan Cooper
Dungeon Artists,Shem Dawson
Dungeon Artists,Jessica Dinh
Dungeon Artists,Jeffrey Duval
Dungeon Artists,Cole Eastburn
Dungeon Artists,Ishmael Hoover
Dungeon Artists,Daehi Kim
Dungeon Artists,Andrew Matthews
Dungeon Artists,Matt McDaid
Dungeon Artists,Matt O'Connor
Dungeon Artists,Lianna Tai
Dungeon Artists,Nicole Thatcher
Dungeon Artists,Fanny Vergne
Dungeon Artists,David Vessup
Environment Artists,Kuko Cai
Environment Artists,Matthew Heyman
Environment Artists,Kelli Hoover
Environment Artists,Starrla Lares
Environment Artists,Servando Lupini
Environment Artists,Martin Ocejo
Environment Artists,Gustav Schmidt
Environment Artists,Tina Wang
Environment Artists,Phillip Zhang
FX Artists,Sarah Carmody
FX Artists,Terrie Denman
FX Artists,Adam Kugler
FX Artists,Steven M. Nelson
Prop Artists,Mark Abadier
Prop Artists,Eric Braddock
Prop Artists,Jamie Chang
Prop Artists,Jeffrey Chuang
Prop Artists,Gavin Glenn-McDowell
Prop Artists,Gabriel Gonzalez
Prop Artists,Jay Hwang
Prop Artists,Peter K. Lee
Prop Artists,Dan Moore
Prop Artists,Jordan Powers
Prop Artists,Ashleigh Warner
Character Rigging Supervisor,Alexis Meade
Technical Artists,Joshua Axner
Technical Artists,Chris Cole
Technical Artists,Paul Forest
Technical Artists,Richard Katz
Technical Artists,Trevor Rothman
Technical Artists,Danny Wynne
Additional Art,Patrick Faulwetter
Additional Art,Alex Horley
Additional Art,Armand Serrano
DESIGN Design Sub-Leads,Craig Amai
DESIGN Design Sub-Leads,Steve Burke
DESIGN Design Sub-Leads,Ely Cannon
DESIGN Design Sub-Leads,Helen Cheng
DESIGN Design Sub-Leads,Morgan Day
DESIGN Design Sub-Leads,Jeremy Feasel
DESIGN Design Sub-Leads,Scott Gordon
DESIGN Design Sub-Leads,Brian Holinka
DESIGN Design Sub-Leads,Dave Kosak
DESIGN Design Sub-Leads,Paul Kubit
DESIGN Design Sub-Leads,Jonathan LeCraft
DESIGN Design Sub-Leads,Eric Maloof
DESIGN Design Sub-Leads,Matthew Sanders
DESIGN Design Sub-Leads,Kris Zierhut
Game Designers,Don Adams
Game Designers,Dylan Barker
Game Designers,Graham Berger
Game Designers,Larry Boles
Game Designers,Andrew Buczacki
Game Designers,Ryan Burns
Game Designers,Johnny Cash
Game Designers,Andrew Chambers
Game Designers,Nathaniel Chapman
Game Designers,Bret Cocking
Game Designers,Jared Coulston
Game Designers,Juan Custer
Game Designers,Steve Danuser
Game Designers,Ken Dilks
Game Designers,Jay Gill
Game Designers,Ken Huang
Game Designers,Trevor Huwe
Game Designers,Chris Kaleiki
Game Designers,Jennifer Klasing
Game Designers,Dan Kramer
Game Designers,Bonnie Kwon
Game Designers,Owen Landgren
Game Designers,Evan Lee
Game Designers,Josh Leyshock
Game Designers,Chadd Nervig
Game Designers,Stephanie Newland
Game Designers,Rob Newns
Game Designers,Michael Nuthals
Game Designers,Zachariah Owens
Game Designers,Julie Palu
Game Designers,Russell Petersen
Game Designers,Ed Piper
Game Designers,Ryan Shwayder
Game Designers,Kurt Sparkuhl
Game Designers,Candace Thomas
Game Designers,Allen Vandegrift
Game Designers,Don Vu
Game Designers,John Yang
Game Designers,Jason Zelechoski
Level Designers,Kyle Aronson
Level Designers,Sarah Boulian Verrall
Level Designers,Paul Cazarez
Level Designers,James Chadwick
Level Designers,Victor Chong
Level Designers,Victor Cortis
Level Designers,Ian Gerdes
Level Designers,Collin Gilbert
Level Designers,Will Harris
Level Designers,Damarcus Holbrook
Level Designers,Kevin Ken Lee
Level Designers,Michael McInerney
Level Designers,Josh Navarro
Level Designers,Scott Smith
Level Designers,Julien Tremblay
Level Designers,Colin Volrath
ENGINEERING Engine Programmers,Ryan Anderson
ENGINEERING Engine Programmers,James Doverspike
ENGINEERING Engine Programmers,Scott Hartin
ENGINEERING Engine Programmers,Sven Knutson
ENGINEERING Engine Programmers,Caroline Sugianto
