Role,Name
LEADERSHIP Executive Producer,John Hight
Game Director,Ion Hazzikostas
Production Director,Patrick Dawson
Art Director,Ely Cannon
Assistant Art Director,Steve Aguilar
Technical Director,Frank Kowalkowski
Assistant Technical Director,Paul Watkins
Lead Animator,Ian Lang
Lead Character Artist,Dusty Nolting
Lead Dungeon Artist,Shem Dawson
Lead Environment Artist,Tina A. Wang
Lead FX Artist,Steven M. Nelson
Lead Prop Artist,Jay Hwang
Lead Technical Artist,Dan Delapena
Lead Visual Development Artist,Jimmy Lo
Art Manager,Jeff Parrott
Lead Game Designers,Morgan Day
Lead Game Designers,Kevin Martens
"Cinematic Director, In-Game",Terran Gregory
Lead Combat Designer,Brian Holinka
Lead Level Designer,James Chadwick
Assistant Lead Level Designer,Julien Tremblay
Lead Narrative Designer,Steve Danuser
Lead Quest Designer,Eric Maloof
Assistant Lead Quest Designers,Steve Burke
Assistant Lead Quest Designers,Johnny Cash
Lead Reward Designer,Russ Petersen
Lead UI Designer,Laura Sardinha Kidde
Design Manager,David Paolone-Webb
Lead Automation Software Engineer,Craig Steele
Lead Classic Engineer,Brian Birmingham
Lead Engine Engineer,Ryan Anderson
Lead Gameplay Engineers,Patrick Magruder
Lead Gameplay Engineers,Darren Williams
Lead Server Engineer,Yurik Haines
Lead Mobile Engineer,John-Mark Hemphill
Lead Systems Technology Engineer,Collin Murray
Lead Tools Engineer,Monte Krol
Lead UI Engineer,John Mikros
Engineering Manager,Jonathan Moon Shaw
Lead Producers,Shani Edwards
Lead Producers,Danielle Engels
Lead Producers,Marcus Maczynski
Lead Producers,Richard Taylor
Sound Design Supervisor,David Rovin
Additional Leadership,Alex Afrasiabi
Additional Leadership,Tim Murray
Additional Leadership,Chris Robinson
Additional Leadership,Tom Thompson
ART Animators,Andrew Arnett
ART Animators,John Butkus
ART Animators,Carman Cheung
ART Animators,Carlos Fins
ART Animators,Caitlin Geels
ART Animators,Chris Hale
ART Animators,Marlowe Lexvold
ART Animators,Corin McCrate
ART Animators,Thomas Nguyen
ART Animators,Matt Parker
