Role,Name
LEADERSHIP Franchise General Manager,John Hight
"Vice President, Development Operations",Jennifer Lew
Executive Producer,Holly Longdale
Game Director,Ion Hazzikostas
Associate Game Directors,Morgan Day
Associate Game Directors,Jeremy Feasel
Production Director,Patrick Dawson
Associate Production Directors,Shani Edwards
Associate Production Directors,Danielle Engels
Associate Production Directors,Clayton Stone
Associate Production Directors,Richard Taylor
Art Director,Ely Cannon
Associate Art Director,Tina A. Wang
Technical Director,Frank Kowalkowski
Associate Technical Directors,Paul Watkins
Associate Technical Directors,Darren Williams
Associate Technical Directors,Jared Zondler
Director Development Operations,Jeff Parrott
Lead Animator,Andrew Arnett
Lead Character Artists,Dusty Nolting
Lead Character Artists,Kelvin Tan
Lead Dungeon Artists,Ryan L. Cooper
Lead Dungeon Artists,Shem Dawson
Lead Environment Artist,Matthew Heyman
Lead FX Artist,Sarah Carmody
Lead Prop Artist,Jay Hwang
Lead Technical Artist,Dan Delapena
Lead Visual Development Artist,Gabriel Gonzalez
Art Managers,Rachel Myre
Art Managers,Annie Sevareid
Lead Combat Designer,Brian Holinka
Lead Cinematic Narrative Designer,Terran Gregory
Lead Content Designer,Luke Sigmund
Lead Encounter Designers,Michael Nuthals
Lead Encounter Designers,Matt Villers
Lead Level Designers,Julien Tremblay
Lead Level Designers,Sarah Boulian Verrall
Lead Narrative Designer,Steve Danuser
Lead Quest Designers,Helen Cheng
Lead Quest Designers,Maria Hamilton
Lead Rewards Designer,Phil Zeleski
Lead UX Designers,Crash Reed
Lead UX Designers,Laura Sardinha Kidde
Design Managers,Kenny Heater
Design Managers,Jonathan Moon Shaw
Lead Automation Engineer,Craig Steele
Lead Classic Engineers,Brian Birmingham
Lead Classic Engineers,Ana Resendez
Lead Engine Engineers,Ryan Anderson
Lead Engine Engineers,John Lytle
Lead Gameplay Engineers,Charles Gast
Lead Gameplay Engineers,Patrick Magruder
Lead Mobile Engineer,John-Mark Hemphill
Lead Server Engineers,Erik Olof Gunnar Andersson
Lead Server Engineers,Matt Bessey
Lead Server Engineers,Kurtis McCathern
Lead Server Engineers,Daniel Story
Lead Server Engineers,Kenneth Williams
Lead Systems Technology Engineer,Collin Murray
Lead Tools Engineers,John Cash
Lead Tools Engineers,Steven Dwyer
Lead Tools Engineers,Chris Gearhart
Lead UI Engineers,Andy Churchill
Lead UI Engineers,John Mikros
Engineering Managers,Derek Reiser
Engineering Managers,Sarah Rivera
Lead Producers,Tanya Huang
Lead Producers,Alex Klontzas
Lead Producers,Marcus Maczynski
Lead Producers,Jay Maguire
Lead Producers,Christi Nishiyama
Sound Design Supervisor,David Rovin
Additional Leadership,Chris Robinson
ART Animators,John Butkus
ART Animators,Carman Cheung
ART Animators,Cameron Christianson
ART Animators,Jason Dickol
ART Animators,Chelsea Dostert
ART Animators,Carlos Fins
ART Animators,Chris Fish
ART Animators,Caitlin Geels
ART Animators,Chris Hale
ART Animators,Kyle Kenworthy
ART Animators,Kyle Kim
ART Animators,Ian Lang
ART Animators,Marlowe Lexvold
ART Animators,Corin McCrate
ART Animators,Evan Miles
ART Animators,Ky Nguyen
ART Animators,Thomas Nguyen
ART Animators,Matt Parker
ART Animators,John Scharmen
ART Animators,Jason Zirpolo
Brand Artist,Korey Regan
Character Artists,Calvin Boice
Character Artists,Christopher Chang
Character Artists,Sukjoo Choi
Character Artists,Bernardo Cristovao
Character Artists,Antoine Dupuis
Character Artists,Ariel Fain
Character Artists,Van Logan Franklin
Character Artists,Kaylee Gifford
Character Artists,Cody Harder
Character Artists,Daniel Hiew
Character Artists,Hwa Min Jung
Character Artists,Paul Lam
Character Artists,Jon McConnell
Character Artists,Matthew McKeown
Character Artists,Aaron R. W. Morse
Character Artists,Jay Nam
Character Artists,Natacha Nielsen
Character Artists,Mackenzie Kade Patrick
Character Artists,Lars Robertson
Character Artists,Josh Shelnutt
Character Artists,Ancelmo Toledo
Character Artists,Miles Wadsworth
Character Outsource Supervisors,Eric Hart
Character Outsource Supervisors,Kenny McBride
Dungeon Outsource Supervisors,Patrick Burke
Dungeon Outsource Supervisors,Jessica Dinh
Dungeon Outsource Supervisors,Liz Waite
Dungeon Artists,Jeff Chang
Dungeon Artists,Dawnson Chen
Dungeon Artists,Jessica Clarke
Dungeon Artists,Steve Crow
Dungeon Artists,Jane DeSiena
Dungeon Artists,Jeffrey Duval
Dungeon Artists,Kaitlyn Firehock
Dungeon Artists,Bruno Fortuna Parrela
Dungeon Artists,Michele Hung
Dungeon Artists,Leigh-Ann Johnson
Dungeon Artists,Patrick Klisiewicz
Dungeon Artists,Henry Dacthien Lam
Dungeon Artists,Andrew Matthews
Dungeon Artists,Jessica Murphy
Dungeon Artists,Mohammad Nahas
Dungeon Artists,Josh Rawlings
Dungeon Artists,Denis Rogic
Dungeon Artists,Dyanna Casas Roman
Dungeon Artists,Sofia Syjuco
Dungeon Artists,Fanny Vergne
Dungeon Artists,Jordan Wills
Dungeon Artists,Kevin Young
Environment Artists,Alexis Bierschbach
Environment Artists,Cory Carrilio
Environment Artists,Alexander Creamer
Environment Artists,Morgan Hilber
Environment Artists,Amber Hill
Environment Artists,Kelli Hoover
Environment Artists,Alexander Iveroth
Environment Artists,Jessi Macko
Environment Artists,Kate McKee
Environment Artists,Elliot Picarello
Environment Artists,Gustav Schmidt
Environment Artists,Amy Smith
Environment Artists,Tai Walker
FX Artists,Max Anderson
FX Artists,Jamal Coleman
FX Artists,Kali Eve Goss
FX Artists,Sarah King
FX Artists,Caitlin Lange
FX Artists,Katie McAllister
FX Artists,Justin Peterson
FX Artists,Ronald Quach
FX Artists,Gregory Tapper
FX Artists,Ethan Loren Zink
Illustration Artist,Bayard Wu
Prop Art Supervisor,Jordan Powers
Prop Artists,Eric Braddock
Prop Artists,Peter Burroughs
Prop Artists,Jamie Chang
Prop Artists,Jeffrey Chuang
Prop Artists,Luis Garza
Prop Artists,Niko Gesell
Prop Artists,Mat Kolbeck
Prop Artists,Lizabeth Leers
Prop Artists,Mats Myrvold
Prop Artists,Antonio Neves
Prop Artists,Alexandra Quinby
Prop Artists,Yili Tan
Prop Artists,Ashleigh Warner
Technical Artists,Waleed Boghosian
Technical Artists,Bonnie Kwon
Technical Artists,Rob McNaughton
Technical Artists,Tommy Rihn
Technical Artists,Trevor Rothman
Technical Artists,Micaela Davi Rubio
Technical Artists,Isaac Shuey
Technical Artists,Ty Viveiros
Technical Artists,Ian Maynard
UI Artists,Casey Graham
UI Artists,Jillian Tipping
UI Artists,Emmanuel Jr Vasquez
UI Artists,Xiaodong Xu
Visual Development Artists,Maxence Burgel
Visual Development Artists,Dave Greco
Visual Development Artists,Cole Eastburn
Visual Development Artists,David Harrington
Visual Development Artists,Forrest Imel
Visual Development Artists,Jimmy Lo
Visual Development Artists,Justin Kauffman
Visual Development Artists,Catarina Pulli
Visual Development Artists,Mongsub Song
Visual Development Artists,Lianna Tai
Additional Art,Josh Tallman
DESIGN Classic Designers,Dara Diba
DESIGN Classic Designers,Tim Jones
DESIGN Classic Designers,Stormr Morgan
DESIGN Classic Designers,Sterling Rios
DESIGN Classic Designers,Anthony Trejo
DESIGN Classic Designers,Kris Zierhut
Combat Designers,Daniel Achterman
Combat Designers,Kristin Ashouri
Combat Designers,Graham Berger
Combat Designers,Jared Coulston
Combat Designers,J Gill
Combat Designers,Dan Kramer
Combat Designers,Owen Landgren
Combat Designers,Benjamin Lee
Combat Designers,Jade Martin
Combat Designers,Ryan Masterson
Combat Designers,Rodney Pare
Combat Designers,Alex Ringe
Combat Designers,Heidi Shellenberger
Combat Designers,Alexander Talbott
Combat Designers,Tylor Voydat
Content Designers,Justin Z. Bartlett
Content Designers,Daniel Boisselle
Content Designers,Brian Dowling
Content Designers,Olivia Fel
Content Designers,Paul Kubit
Content Designers,Evan Lee
Content Designers,Jake Miller
Content Designers,Serge Morozov
Content Designers,Pat Nagle
Content Designers,Leah Norris
Content Designers,David Rose
Content Designers,Mike Stout
Encounter Designers,Abigail Barber
Encounter Designers,Dylan Barker
Encounter Designers,Joe Cash
Encounter Designers,Stephen Cavallaro
Encounter Designers,Andrew De Sousa
Encounter Designers,Ken Dilks
Encounter Designers,Amber Dyerly
Encounter Designers,Paige Hicks
Encounter Designers,Ken Huang
Encounter Designers,Michael Liang
Encounter Designers,Matt Nemiah
Encounter Designers,Jonathan Newsham
Encounter Designers,Ed Piper
Encounter Designers,Taylor Sanders
Encounter Designers,Daniel Thomacos
Encounter Designers,Allen Vandegrift
Encounter Designers,Katrina Yepiz
Encounter Designers,Jason Zelechoski
Level Designers,Jestry Ahlswede
Level Designers,Matthew Armstrong
Level Designers,Sarah Benyona
Level Designers,Victor Cortis
Level Designers,Brent Critchfield
Level Designers,Michael Esten
Level Designers,Ian Gerdes
Level Designers,Travis Hickman
Level Designers,Travis Inman
Level Designers,Carson Marlow
Level Designers,Ryan Moore
Level Designers,Kristy Moret
Level Designers,Matthew Morris
Level Designers,Josh Navarro
Level Designers,Gary Platner
Level Designers,Rhett Torgoley
Level Designers,Jacquelyn Washington
Level Designers,Sara Wons
Level Designers,Amanda Wood
Narrative Designers,Sarah Arellano
Narrative Designers,Brian Campbell
Narrative Designers,Diandra Lasrado
Narrative Designers,Abigail Manuel
Narrative Designers,Nick McDowell
Narrative Designers,Anne Stickney
Narrative Designers,Nathan Knaack
Quest Designers,Mateusz Albrewczynski
Quest Designers,Josh Augustine
Quest Designers,Katherine Bankson
Quest Designers,Larry Boles
Quest Designers,Jonathan Caraker
Quest Designers,Keith Riley Co
Quest Designers,Sarah Cotner
Quest Designers,Eric Covington
Quest Designers,Michael Ebert
Quest Designers,Kim Flack
Quest Designers,Kathryn Friesen
Quest Designers,Arjun Gambhir
Quest Designers,Yakir Garavelas
Quest Designers,Laura Griego
Quest Designers,Stephanie Han
Quest Designers,Mark Kelada
Quest Designers,Daniel Marthaler
Quest Designers,Steve Martinez
Quest Designers,Sean McCann
Quest Designers,Alice O'Connell
Quest Designers,Aaron Olson
Quest Designers,Zachariah Owens
Quest Designers,Jake Shillan
Quest Designers,Jennifer Siino
Quest Designers,Noah Smith
Quest Designers,Laura Spreitzer
Quest Designers,Zach Stark
Quest Designers,Lee Thommock
Quest Designers,Elise Valla
Quest Designers,Rachel Vought
Quest Designers,Ellery Wilder
Quest Designers,Jackie Wiley
Quest Designers,Stephanie Yoon
Rewards Designers,Justin Cage
Rewards Designers,Bret Cocking
Rewards Designers,Zed Grably--Shrager
Rewards Designers,Alejandro Grossman
Rewards Designers,Jeff Grow
Rewards Designers,Jeff Hamilton
Rewards Designers,Eric Holmberg-Weidler
Rewards Designers,Evan Lind
Rewards Designers,Tyler Neuhaus
Rewards Designers,Patrick Scarborough
Rewards Designers,Jonathon Sherwood
Rewards Designers,Allison Steele
Rewards Designers,Christopher Talbott
Rewards Designers,Tyler Youmans
Technical Designers,Landon Doi
Technical Designers,Jared Gillis
Technical Designers,Chloe Lister
Technical Designers,Luna Meier
Technical Designers,Peter Nott
UX Designers,Nara da Silva
UX Designers,Joanna Gianulis
UX Designers,Lillian Lee
UX Designers,Jeff Liu
UX Designers,Kristina Miles
UX Designers,Crystal Tam
UX Designers,Charlie White
Additional Design,Kyle Aronson
Additional Design,Alan Castle
Additional Design,David Kim
Additional Design,Kevin Martens
Additional Design,Craig Morrison
Additional Design,Colin Volrath
ENGINEERING Audio Software Engineer,Kelly Michael Fox
Automation Software Engineers,Chris Davila
Automation Software Engineers,Jennifer Felton
Automation Software Engineers,Xing Jin
Automation Software Engineers,Matthew Mabrey
Automation Software Engineers,Jeremy Morton
Automation Software Engineers,Almir Sehic
Classic Engineers,Claire Cullen
Classic Engineers,Matthew Everett
Classic Engineers,Daniel Gutierrez
Classic Engineers,David Lawrence
Classic Engineers,Kyle Long
Classic Engineers,Chase Maguire
Classic Engineers,Aadarsh Patel
Classic Engineers,Elliot Roush
Classic Engineers,Daniel Schneider
Classic Engineers,Nora Valletta
Classic Engineers,Kevin Vigue
Classic Engineers,Frank Williams
Engine Engineers,Gabriel Belanger
Engine Engineers,Joshua Camille
Engine Engineers,Paul DeBerry
Engine Engineers,Jerry Frazier
Engine Engineers,Carl Glave
Engine Engineers,Scott Hartin
Engine Engineers,Sven Knutson
Engine Engineers,Yaohua Ma
Engine Engineers,CJ Ordog
Engine Engineers,Daniel Pageau
Engine Engineers,Max Rahm
Engine Engineers,Alexander Sanoja
Engine Engineers,Daniel Stephens
Engine Engineers,Caroline Sugianto
Gameplay Engineers,Emily Berger
Gameplay Engineers,Alex Carpentieri
Gameplay Engineers,James Collins III
Gameplay Engineers,Paden Cross
Gameplay Engineers,Dustin Daon
Gameplay Engineers,Maybri Flores Garcia
Gameplay Engineers,Byron Henze
Gameplay Engineers,Luke Herczeg
Gameplay Engineers,Nathan Hitchcock
Gameplay Engineers,Peter Hodge
Gameplay Engineers,Tim Hume
Gameplay Engineers,Noah Koecher
Gameplay Engineers,Alex Kudebeh
Gameplay Engineers,Christopher MacDonald
Gameplay Engineers,Harry Mao
Gameplay Engineers,Brandon Meesak
Gameplay Engineers,Isaac Redlon
Gameplay Engineers,Jessica Rizzo
Gameplay Engineers,Yuni Zheng
Mobile Engineers,Michael Chambers
Mobile Engineers,Isaac Guan
Mobile Engineers,Jared Hays
Mobile Engineers,Tiger Lu
Pipeline Technical Artists,Chris Burnett
Pipeline Technical Artists,Sam Fung
Pipeline Technical Artists,Andry Jong
