,insert_order,role,name,aliases
0,1,Executive Producer,Allen Adham,
1,2,Producer,Patrick Wyatt,
2,3,Programmer,Patrick Wyatt,
3,4,Programmer,Bob Fitch,
4,5,Programmer,Mike Morhaime,['Michael Morhaime']
5,6,Programmer,Jesse McReynolds,
6,7,Artist,Stuart Rose,"['Stu Rose', 'Stu']"
7,8,Artist,Samwise Didier,
8,9,Artist,Ron Millar,
9,10,Artist,Mickey Neilson,
10,11,Artist,Brian Sousa,
11,12,Artist,David Berggren,
12,13,Artist,Roman Kenney,
13,14,3D Artist,Joeyray Hall,
14,15,3D Artist,Ron Millar,
15,16,3D Artist,Duane Stinett,
16,17,Music & Sound,Glenn Stafford,
17,18,Music & Sound,Gregory Alper,
18,19,Music & Sound,Rick Jackson,
19,20,Music & Sound,Chris Palmer,
20,21,Voices,Bill Roper,
21,22,Manual Design,Bill Roper,
22,23,Manual Illustrations,Stuart Rose,
23,24,Manual Illustrations,Samwise Didier,
24,25,Manual Illustrations,Roman Kenney,
25,26,Manual Illustrations,Brian Sousa,
26,27,Manual Illustrations,Mickey Neilson,
27,28,Manual Illustrations,David Berggren,
28,29,Manual Illustrations,Chris Metzen,
29,30,Manual Illustrations,Nick Carpenter,
30,31,Public Relations,Susan Wooley,
31,32,Public Relations,Linda Duttenhaver,
32,33,Marketing,Kathey Carter,
33,34,Marketing,Steve Huot,
34,35,Marketing,Burkley Hanes,
35,36,Marketing,Debbie Caton,
36,37,Marketing,Fernando Paez,
37,38,Sales,Russel Nishida,
38,39,Sales,Aprile Penhall,
39,40,Sales,Helen Moriyama,
40,41,Quality Assurance,Robert Louden,
41,42,Quality Assurance,Tymothi Loving,
42,43,Quality Assurance,Mark Menter,
43,44,Quality Assurance,Larry Smith,
44,45,Registered Beta Tester,Derek Arasi,
45,46,Registered Beta Tester,David Bevik,
46,47,Registered Beta Tester,Jeff Cassens,
47,48,Registered Beta Tester,Shane Dabiri,
48,49,Registered Beta Tester,Robert Djorjevich,
49,50,Registered Beta Tester,Doug Gauss,
50,51,Registered Beta Tester,Sina Ghaboussi,
51,52,Registered Beta Tester,Tim Gossard,
52,53,Registered Beta Tester,Mark Pearce,
53,54,Registered Beta Tester,Vic Larson,
54,55,Registered Beta Tester,Issac Matarasso,
55,56,Registered Beta Tester,John Teichrow,
56,57,Registered Beta Tester,Andy Thorson,
57,58,Registered Beta Tester,Stuart Venable Jr.,
58,59,Special Thanks,Bob & Jan Davidson,
59,60,Special Thanks,John Patrick,
60,61,Special Thanks,John Goodman,
61,62,Special Thanks,Jeff Beaumont,
62,63,Special Thanks,Ralph Becker,
63,64,Special Thanks,Mike Albanese,
64,65,Special Thanks,John Sosoka,
65,66,Special Thanks,Pam Drake,
66,67,Special Thanks,Jenny Toney,
67,68,Special Thanks,James Phinney,
68,69,Special Thanks,Bobo the Wonder Orc,
69,70,Special Thanks,Suzanne States,
70,71,Special Thanks,Ronald Millar Sr.,
71,72,Special Thanks,Private Pabst,
72,73,Special Thanks,Bunchy,
73,74,Special Thanks,Eskhandar,
74,75,Special Thanks,Salty Dog,
75,76,Special Thanks,Rider,
76,77,Special Thanks,"The ""Batman""",
77,78,Special Thanks,M.B.,
78,79,Special Thanks,Frank Pearce,
79,80,Special Thanks,Shannon and her white chocolate grapes,
80,81,Special Thanks,Pretty Princess Gwendolyn,
81,82,Special Thanks,Susan Bezzina,
82,83,Special Thanks,Darlene & her hair,
83,84,Special Thanks,The Memphis Blues,
84,85,Special Thanks,Christina Cade,
85,86,Special Thanks,"Jason ""God of Thunder"" Thor",
86,87,Special Thanks,"""Dangerous"" Damian Russel",
87,88,Special Thanks,Shahram Dabiri,
88,89,Special Thanks,The Mang Mang,
89,90,Special Thanks,Vic's Car,
90,91,Special Thanks,The Poxy Boggards,
91,92,Special Thanks,Ray the Soda Man,
92,93,Special Thanks,Lala,
93,94,Special Thanks,Endicott,
94,95,Special Thanks,C.W.,
95,96,Special Thanks,The Kitchen Sink & you for reading this,
