,insert_order,role,name,aliases,Note
0,903,Executive Producer,Mike Morhaime,,
1,904,Team Lead,Frank Pearce,,
2,905,Art Director,Samwise Didier,,
3,906,Lead Designer,Rob Pardo,,
4,907,Lead Technical Artist,Rob McNaughton,,
5,908,Producer,Chris Sigaty,,
6,909,Writer,Chris Metzen,,
7,910,Creative Director,Chris Metzen,,
8,911,Technology Lead,Jay Patel,,
9,912,Programmer,Andy Bond,,
10,913,Programmer,Carl Chimes,,
11,914,Programmer,Alan Dabiri,['Cheated by Fate'],
12,915,Programmer,Bob Fitch,,
13,916,Programmer,Michael Heiberg,,
14,917,Programmer,Monte Krol,,
15,918,Programmer,Dave Lawrence,,
16,919,Programmer,Graham Madarasz,,
17,920,Programmer,Jay Patel,,
18,921,Programmer,Frank Pearce,,
19,922,Programmer,Andrea Passino,,
20,923,Programmer,Brett Wood,,
21,924,Battle.net Programmer,Matthew Versluys,,
22,925,Additional Programmer,James Anhalt,,
23,926,Additional Programmer,Robert Bridenbecker,,
24,927,Additional Programmer,Brian Fitzgerald,,
25,928,Additional Programmer,Tony Tribelli,,
26,929,Additional Macintosh Programmer,Robert Barris,,
27,930,Additional Macintosh Programmer,John Mikros,,
28,931,Additional Macintosh Programmer,John Stiles,,
29,932,Artist,Dave Berggren,,
30,933,Artist,Samwise Didier,,
31,934,Artist,Allen Dilling,,
32,935,Artist,Trevor Jacobs,,
33,936,Artist,,,
34,937,Artist,Rob McNaughton,,
35,938,Artist,Mickey Neilson,,
36,939,Artist,Matt Oursbourn,,
37,940,Artist,Ted Park,,
38,941,Associate Designer,Tom Cadwell,,
39,942,Associate Designer,Scott Mercer,,
40,943,Campaign Lead Design,Tim Campbell,,
41,944,Campaign Design & Layout,David Fried,,
42,945,Campaign Design & Layout,Dave Hale,,
43,946,Campaign Design & Layout,Michael Heiberg,,
44,947,Campaign Design & Layout,Scott Mercer,,
45,948,Campaign Design & Layout,Matt Morris,,
46,949,Campaign Design & Layout,Rob Pardo,,
47,950,Campaign Design & Layout,Dean Shipley,,
48,951,Multiplayer Maps,Zach Callanan,,
49,952,Multiplayer Maps,Dave Hale,,
50,953,Multiplayer Maps,Edward Hanes,,
