,insert_order,role,name,aliases,Note
0,285,Executive Producer,Mike Morhaime,,
1,286,Team Lead,Frank Pearce,,
2,287,Art Director,Samwise Didier,,
3,288,Lead Designer,Rob Pardo,,
4,289,Lead Technical Artist,Rob McNaughton,,
5,290,Producer,Chris Sigaty,,
6,291,Technology Lead,Jay Patel,,
7,292,Programmer,Andy Bond,,
8,293,Programmer,Carl Chimes,,
9,294,Programmer,Jeff Chow,,
10,295,Programmer,Alan Dabiri,['Cheated by Fate'],
11,296,Programmer,Bob Fitch,,
12,297,Programmer,Monte Krol,,
13,298,Programmer,Dave Lawrence,,
14,299,Programmer,Graham Madarasz,,
15,300,Programmer,Collin Murray,,
16,301,Programmer,Jay Patel,,
17,302,Programmer,Frank Pearce,,
18,303,Programmer,Andrea Passino,,
19,304,Programmer,Brett Wood,,
20,305,Battle.net Programmer,James Anhalt,,
21,306,Battle.net Programmer,Robert Bridenbecker,,
22,307,Battle.net Programmer,Brian Fitzgerald,,
23,308,Battle.net Programmer,Tony Tribelli,,
24,309,Battle.net Programmer,Matthew Versluys,,
25,310,Additional Programmer,Robert Barris,,
26,311,Additional Programmer,John Cash,,
27,312,Additional Programmer,Brian Fitzgerald,,
28,313,Additional Programmer,Mike Heiberg,,
29,314,Additional Programmer,Sam Lantinga,,
30,315,Additional Programmer,Mike Morhaime,,
31,316,Additional Programmer,John Stiles,,
32,317,Additional Programmer,Tim Truesdale,,
33,318,Additional Programmer,Matthew Versluys,,
34,319,Additional Programmer,Jeremy Wood,,
35,320,Macintosh Programming,John Stiles,,
36,321,Additional Macintosh Programmer,Robert Barris,,
37,322,Additional Macintosh Programmer,John Mikros,,
38,323,Additional Macintosh Programmer,Brett Wood,,
39,324,Artist,Dave Berggren,,
40,325,Artist,Samwise Didier,,
41,326,Artist,Allen Dilling,,
42,327,Artist,Trevor Jacobs,,
43,328,Artist,Roman Kenney,,
44,329,Artist,Rob McNaughton,,
45,330,Artist,Mickey Neilson,,
46,331,Artist,Matt Oursbourn,,
47,332,Artist,Ted Park,,
48,333,Artist,Stu Rose,,
49,334,Artist,Ru Weerasuriya,,
50,335,Additional Artist,Kevin Beardslee,,
51,336,Additional Artist,Adam Byrne,,
52,337,Additional Artist,Brandon Idol,,
53,338,Additional Artist,Kyle Harrison,,
54,339,Additional Artist,Eric Henze,,
55,340,Additional Artist,Brian Hsu,,
56,341,Additional Artist,Solomon Lee,,
57,342,Additional Artist,Justin Thavirat,['Han'],
58,343,Senior Designer,Allen Adham,,
59,344,Writer,Chris Metzen,,
60,345,Creative Director,Chris Metzen,,
61,346,Campaign Design & Layout,Tim Campbell,,
62,347,Campaign Design & Layout,David Fried,,
63,348,Campaign Design & Layout,Dave Hale,,
64,349,Campaign Design & Layout,Michael Heiberg,,
65,350,Campaign Design & Layout,Scott Mercer,,
66,351,Campaign Design & Layout,Matt Morris,,
67,352,Campaign Design & Layout,Rob Pardo,,
68,353,Campaign Design & Layout,Dean Shipley,,
69,354,Story Concept,Samwise Didier,,
70,355,Story Concept,Chris Metzen,,
71,356,Story Concept,Rob Pardo,,
72,357,Script & Text editing,Mickey Neilson,,
73,358,Script & Text editing,Susan Sams,,
74,359,Script & Text editing,Ru Weerasuriya,,
75,360,Associate Producers,Frank Gilson,,
76,361,Associate Producers,Chris Millar,,
77,362,Cinematic Director,Nicholas S. Carpenter,,aka Nick Carpenter?
78,363,Cinematic Executive Producer,Matt Samia,,
79,364,Cinematic Producer,Scott Abeyta,,
80,365,Cinematic Editor,Joeyray Hall,,
81,366,Cinematic Script Writers,Nicholas S. Carpenter,,
82,367,Cinematic Script Writers,Chris Metzen,,
83,368,Cinematic Artists,Scott Abeyta,,
84,369,Cinematic Artists,John Burnett,,
