role,name
Executive Producer,J. Allen Brack
Game Director,Ion Hazzikostas
Production Director,John Hight
Art Director,Chris Robinson
Creative Director,Alex Afrasiabi
Technical Director,Patrick Dawson
Assistant Technical Director,Frank Kowalkowski
Business Operations Director,Jennifer Hauer
Lead Animator,Steve Aguilar
Lead Character Artist,Dusty Nolting
Lead Environment Artist,Ely Cannon
Lead FX Artist,Steven M. Nelson
Lead Prop Artist,Dan Moore
Lead Technical Artist,Dan Delapena
Art Manager,Jeff Parrott
Lead Game Designer,Matt Goss
Lead Class Designer,Adam Kugler
Lead Encounter Designer,Morgan Day
Assistant Lead Encounter Designer,Scott Gordon
Lead Level Designer,James Chadwick
Assistant Lead Level Designer,Julien Tremblay
Lead Rewards Designer,Russell Petersen
Lead Quest Designer,Eric Maloof
Assistant Lead Quest Designer,Steve Burke
Feature Supervisors,Andrew Chambers
Feature Supervisors,Jeremy Feasel
Feature Supervisors,Kevin Martens
Design Manager,Craig Morrison
Lead Automation Engineer,Craig Steele
Lead Gameplay Engineers,Patrick Magruder
Lead Gameplay Engineers,Paul Watkins
Lead Server Engineer,Tim Murray
Lead Shared Technology Engineer,John Cash
Lead Systems Technology Engineer,Collin Murray
Lead Tools Engineer,Monte Krol
Lead UI Engineer,Tom Thompson
Engineering Manager,Jonathan Moon Shaw
Lead Producers,Ray Cobo
Lead Producers,Daniel Stahl
Sound Design Supervisor,David Rovin
Additional Leadership,Brian Birmingham
Additional Leadership,Eric Browning
Additional Leadership,Tom Chilton
Additional Leadership,Brian Holinka
Additional Leadership,Michael Johnson
Additional Leadership,Marco Koegler
Additional Leadership,Andy Lang
Additional Leadership,Julian Morris
Additional Leadership,Wendy Vetter
Outsource Animation Supervisor,Andrew Arnett
Animators,Jennifer Burchfield
Animators,John Butkus
Animators,Carman Cheung
Animators,David M. Edwards
Animators,Carlos Fins
Animators,Caitlin Geels
Animators,Chris Hale
Animators,Ian Lang
Animators,Jerry Matsko
Animators,Corin McCrate
Animators,Daniel Moore
Animators,Thomas Nguyen
Animators,Kevin Rucker
Animators,John Scharmen
Animators,Jason Zirpolo
Character Artists,Calvin Boice
Character Artists,Christopher Chang
Character Artists,Sukjoo Choi
Character Artists,Ariel Fain
Character Artists,Cody Harder
Character Artists,Christopher Hayes
Character Artists,Joe Keller
Character Artists,Kenny McBride
Character Artists,Jon McConnell
Character Artists,Matthew McKeown
Character Artists,Aaron R. W. Morse
Character Artists,Jay Nam
Character Artists,Genevieve St-Michel
Character Artists,Kelvin Tan
Character Artists,Thomas Yip
Dungeon Exteriors Supervisor,Stephen Crow
Dungeon Instance Supervisor,Shem Dawson
Dungeon Texture Supervisor,Matt O'Connor
Dungeon Artists,Patrick Burke
Dungeon Artists,Jeff Chang
Dungeon Artists,Jessica Clarke
Dungeon Artists,Ryan Cooper
Dungeon Artists,Jessica Dinh
Dungeon Artists,Jeffrey Duval
Dungeon Artists,Becca Hallstedt
Dungeon Artists,Ishmael Hoover
Dungeon Artists,Daehi Kim
Dungeon Artists,Andrew Matthews
Dungeon Artists,Michaela Nienaber
Dungeon Artists,Denis Rogic
Dungeon Artists,Lianna Tai
Dungeon Artists,Nicole Thatcher
Dungeon Artists,Rhett Torgoley
Dungeon Artists,Fanny Vergne
Dungeon Artists,David Vessup
Dungeon Artists,Brian Youn
Environment Artists,Kuko Cai
Environment Artists,Gabriel Gonzalez
Environment Artists,Matthew Heyman
Environment Artists,Kelli Hoover
Environment Artists,Marie Lazar
Environment Artists,Kate McKee
Environment Artists,Nick Murano
Environment Artists,Martin Ocejo
Environment Artists,Gustav Schmidt
Environment Artists,Tina Wang
Environment Artists,Phillip Zhang
Environment Concept Artist,Chris Deboda
FX Artists,Luis Aguas
FX Artists,Sarah Carmody
FX Artists,Kali Jacobs
FX Artists,Guillermo La O'
FX Artists,Ethan Zink
Prop Artists,Mark Abadier
Prop Artists,Eric Braddock
Prop Artists,Jamie Chang
Prop Artists,Jeffrey Chuang
Prop Artists,Jay Hwang
Prop Artists,Kyle Jensen
Prop Artists,Peter K. Lee
Prop Artists,Jordan Powers
Prop Artists,Ashleigh Warner
Technical Artists,Lisa Anderson
Technical Artists,Thomas Blue
Technical Artists,Waleed Boghosian
Technical Artists,Chris Cole
Technical Artists,Richard Katz
Technical Artists,Trevor Rothman
Technical Artists,Ty Viveiros
Technical Artists,Nathan Watson
Visual Development Supervisor,Jimmy Lo
Illustration Supervisor,Glenn Rane
Visual Development Artists,Peter Clarke
Visual Development Artists,Cole Eastburn
Game Designers,Don Adams
Game Designers,Josh Augustine
Game Designers,Katherine Bankson
Game Designers,Dylan Barker
Game Designers,Graham Berger
Game Designers,Larry Boles
Game Designers,Andrew Buczacki
Game Designers,Ryan Burns
Game Designers,Johnny Cash
Game Designers,Skye Chandler
Game Designers,Nathaniel Chapman
Game Designers,Bret Cocking
Game Designers,Sarah Cotner
Game Designers,Jared Coulston
Game Designers,Steve Danuser
Game Designers,Andrew De Sousa
Game Designers,Ken Dilks
Game Designers,Brian Dowling
Game Designers,Michael Ebert
Game Designers,Jay Gill
Game Designers,Jeffrey Hamilton
Game Designers,Ken Huang
Game Designers,Trevor Huwe
Game Designers,Brian Inkrot
Game Designers,Chris Kaleiki
Game Designers,Jennifer Klasing
Game Designers,Dan Kramer
Game Designers,Paul Kubit
Game Designers,Bonnie Kwon
Game Designers,Owen Landgren
Game Designers,Evan Lee
Game Designers,Josh Leyshock
Game Designers,Dave Maldonado
Game Designers,Sean McCann
Game Designers,Chris Morris
Game Designers,Major Mummert
Game Designers,Stephanie Newland
Game Designers,Rob Newns
Game Designers,Peter Nott
Game Designers,Michael Nuthals
Game Designers,Zachariah Owens
Game Designers,Julie Palu
Game Designers,Ed Piper
Game Designers,Kim Acuff Pittman
Game Designers,Ryan Shwayder
Game Designers,Scott Smith
Game Designers,Kurt Sparkuhl
Game Designers,Candace Thomas
Game Designers,Allen Vandegrift
Game Designers,Rachel Vought
Game Designers,Jackie Wiley
Game Designers,John Yang
Game Designers,Jason Zelechoski
Level Designers,Jestry Ahlswede
Level Designers,Kyle Conlan Aronson
Level Designers,Sarah Boulian Verrall
Level Designers,Paul Cazarez
Level Designers,Victor Cortis
Level Designers,Ian Gerdes
Level Designers,Collin Gilbert
Level Designers,Will Harris
Level Designers,Damarcus Holbrook
Level Designers,Kevin Ken Lee
Level Designers,Ryan Moore
Level Designers,Kristy Moret
Level Designers,Josh Navarro
Level Designers,Gary Platner
Level Designers,Zachary Turner
Level Designers,Colin Volrath
Level Designers,Sara Wons
Automation Programmers,Chris Davila
Automation Programmers,Sean Hogan
Automation Programmers,Xing Jin
Automation Programmers,Jeremy Morton
Automation Programmers,Almir Sehic
Engine Programmers,Ryan Anderson
Engine Programmers,Paul DeBerry
Engine Programmers,James Doverspike
Engine Programmers,Scott Hartin
Engine Programmers,Sven Knutson
Engine Programmers,John Lytle
Engine Programmers,Max Rahm
Engine Programmers,Caroline Sugianto
Engine Programmers,Matt Yan
Gameplay Programmers,Doug Frazer
Gameplay Programmers,Charles Gast
Gameplay Programmers,Carl Glave
Gameplay Programmers,Omar Gonzalez
Gameplay Programmers,Arne Olav Hallingstad
Gameplay Programmers,Peter Hodge
Gameplay Programmers,Jason Kanagaratnam
Gameplay Programmers,Cort Keefer
Gameplay Programmers,Christopher MacDonald
Gameplay Programmers,Pat MacKellar
Gameplay Programmers,Robert Moodey
Gameplay Programmers,Anders Vagner Rostgaard
Gameplay Programmers,Francesco Tarallo
Gameplay Programmers,Darren Williams
Mobile Programmers,Michael Chambers
Mobile Programmers,Jared Hays
Server Programmers,Kelly Chun
Server Programmers,Joseph Cochran
Server Programmers,William Dewey
Server Programmers,Jared Gillis
Server Programmers,Dusan Jan
Server Programmers,Jeff Mears
Server Programmers,Aimee Pi
Server Programmers,Vinay Sarpeshkar
Server Programmers,Timothy Talley
Shared Technology Programmers,Carson Lee
Shared Technology Programmers,Kurtis McCathern
Systems Technology Programmers,Adam Batters
Systems Technology Programmers,Ryan Hanlon
Systems Technology Programmers,Scott Stanfield
Systems Technology Programmers,R. Blaine Whittle
Tools Team,Ian Combs
Tools Team,Christopher Beau Cooper
Tools Team,Steven Dwyer
Tools Team,Chris Gearhart
Tools Team,Jason Johannes
Tools Team,Daniel Pageau
Tools Team,John Stiles
Tools Team,Jaeson Welch
UI Designers,Jeff Liu
UI Designers,Ray Ocampo
UI Designers,Laura Sardinha Kidde
UI Programmers,Nathan Bonfiglio
UI Programmers,Andrew Churchill
UI Programmers,Aubrie Healy
UI Programmers,John Mikros
UI Programmers,Serban Oprescu
